0,1,2,3,4,5,6
广东省,2010,潮州,,3,广东省潮州,"[116.6205482, 23.6566146]"
广东省,2010,潮州市,市辖区,1,广东省潮州市市辖区,"[116.6205482, 23.6566146]"
广东省,2010,潮州市,潮安县,2,广东省潮州市潮安县,"[116.6205482, 23.6566146]"
广东省,2010,潮州市,饶平县,5,广东省潮州市饶平县,"[116.928126, 23.7144941]"
广东省,2011,潮州市,市辖区,1,广东省潮州市市辖区,"[116.928126, 23.7144941]"
广东省,2011,潮州市,湘桥区,1,广东省潮州市湘桥区,"[116.928126, 23.7144941]"
广东省,2011,潮州市,潮安县,2,广东省潮州市潮安县,"[116.928126, 23.7144941]"
广东省,2011,潮州市,饶平县,2,广东省潮州市饶平县,"[116.928126, 23.7144941]"
广东省,2012,潮州市,市辖区,4,广东省潮州市市辖区,"[116.928126, 23.7144941]"
广东省,2012,潮州市,湘桥区,1,广东省潮州市湘桥区,"[116.928126, 23.7144941]"
广东省,2012,潮州市,潮安县,4,广东省潮州市潮安县,"[116.928126, 23.7144941]"
广东省,2012,潮州市,饶平县,168,广东省潮州市饶平县,"[116.928126, 23.7144941]"
广东省,2013,潮州市,市辖区,53,广东省潮州市市辖区,"[116.928126, 23.7144941]"
广东省,2013,潮州市,枫溪区,9,广东省潮州市枫溪区,"[116.928126, 23.7144941]"
广东省,2013,潮州市,湘桥区,62,广东省潮州市湘桥区,"[116.928126, 23.7144941]"
广东省,2013,潮州市,潮安县,191,广东省潮州市潮安县,"[116.928126, 23.7144941]"
广东省,2013,潮州市,饶平县,3716,广东省潮州市饶平县,"[116.928126, 23.7144941]"
广东省,2014,潮州市,市辖区,274,广东省潮州市市辖区,"[116.928126, 23.7144941]"
广东省,2014,潮州市,枫溪区,27,广东省潮州市枫溪区,"[116.928126, 23.7144941]"
广东省,2014,潮州市,湘桥区,373,广东省潮州市湘桥区,"[116.928126, 23.7144941]"
广东省,2014,潮州市,潮安县,959,广东省潮州市潮安县,"[116.928126, 23.7144941]"
广东省,2014,潮州市,饶平县,4534,广东省潮州市饶平县,"[116.928126, 23.7144941]"
广东省,2015,潮州市,市辖区,382,广东省潮州市市辖区,"[116.928126, 23.7144941]"
广东省,2015,潮州市,枫溪区,41,广东省潮州市枫溪区,"[116.928126, 23.7144941]"
